service_id,date,exception_type
0102030405,20180625,2
0102030405,20180702,2
01020304,20180625,2
01020304,20180702,2
07,20180625,1
0607,20180625,1
07,20180702,1
0607,20180702,1
0102030405,20180903,2
01020304,20180903,2
07,20180903,1
0607,20180903,1
0102030405,20181008,2
01020304,20181008,2
07,20181008,1
05SP,20181109,1
05SP,20181112,1
0607,20181008,1
0102030405,20181225,2
01020304,20181225,2
07,20181225,1
0607,20181225,1
Fete,20181225,1
0102030405,20181226,2
01020304,20181226,2
07,20181226,1
0607,20181226,1
Fete,20181226,1
0102030405,20190101,2
01020304,20190101,2
07,20190101,1
0607,20190101,1
Fete,20190101,1
0102030405,20190102,2
01020304,20190102,2
07,20190102,1
0607,20190102,1
Fete,20190102,1
