route_id,service_id,trip_id,trip_headsign,direction_id,shape_id,trip_short_name
1,0102030405,1_10_2,Direction Montréal,0,1_10,10
1,0102030405,1_3_2,Direction Vaudreuil,1,1_3,41
1,0102030405,1_5_2,Direction Vaudreuil,1,1_5,11
1,0102030405,1_6_2,Direction Montréal,0,1_6,40
1,0102030405,1_7_2,Direction Hudson,1,1_7,111
1,0102030405,1_8_2,Direction Montréal,0,1_8,26
1,0102030405,1_9_2,Direction Vaudreuil,1,1_9,13
1,0102030405,1_10_4,Direction Montréal,0,1_10,12
1,0102030405,1_4_4,Direction Montréal,0,1_4,112
1,0102030405,1_9_4,Direction Vaudreuil,1,1_9,15
1,0102030405,1_10_6,Direction Montréal,0,1_10,114
1,0102030405,1_9_6,Direction Vaudreuil,1,1_9,17
1,0102030405,1_10_8,Direction Montréal,0,1_10,14
1,0102030405,1_9_8,Direction Vaudreuil,1,1_9,19
1,0102030405,1_10_10,Direction Montréal,0,1_10,16
1,0102030405,1_9_10,Direction Vaudreuil,1,1_9,121
1,0102030405,1_10_12,Direction Montréal,0,1_10,18
1,0102030405,1_9_12,Direction Vaudreuil,1,1_9,21
1,0102030405,1_10_14,Direction Montréal,0,1_10,20
1,0102030405,1_9_14,Direction Vaudreuil,1,1_9,23
1,0102030405,1_10_16,Direction Montréal,0,1_10,22
1,0102030405,1_9_16,Direction Vaudreuil,1,1_9,25
1,0102030405,1_10_18,Direction Montréal,0,1_10,24
1,0102030405,1_9_18,Direction Vaudreuil,1,1_9,27
1,0102030405,1_10_20,Direction Montréal,0,1_10,30
1,0102030405,1_9_20,Direction Vaudreuil,1,1_9,29
1,0102030405,1_9_22,Direction Vaudreuil,1,1_9,31
1,06,1_10_21,Direction Montréal,0,1_10,50
1,06,1_10_22,Direction Montréal,0,1_10,52
1,06,1_10_23,Direction Montréal,0,1_10,54
1,06,1_9_23,Direction Vaudreuil,1,1_9,51
1,06,1_10_24,Direction Montréal,0,1_10,56
1,06,1_9_24,Direction Vaudreuil,1,1_9,53
1,06,1_9_25,Direction Vaudreuil,1,1_9,55
1,06,1_9_26,Direction Vaudreuil,1,1_9,57
1,07,1_10_25,Direction Montréal,0,1_10,60
1,07,1_10_26,Direction Montréal,0,1_10,62
1,07,1_10_27,Direction Montréal,0,1_10,64
1,07,1_9_27,Direction Vaudreuil,1,1_9,61
1,07,1_9_28,Direction Vaudreuil,1,1_9,63
1,07,1_9_29,Direction Vaudreuil,1,1_9,65
2,01020304,2_2_35,Direction Montréal,0,2_2,960
2,01020304,2_2_36,Direction Montréal,0,2_2,962
2,01020304,2_1_37,Direction Deux-Montagnes,1,2_1,959
2,01020304,2_2_37,Direction Montréal,0,2_2,964
2,01020304,2_1_38,Direction Deux-Montagnes,1,2_1,961
2,01020304,2_2_38,Direction Montréal,0,2_2,966
2,01020304,2_1_39,Direction Deux-Montagnes,1,2_1,963
2,01020304,2_1_40,Direction Deux-Montagnes,1,2_1,965
2,01020304,2_1_41,Direction Deux-Montagnes,1,2_1,967
2,0102030405,2_1_1,Direction Deux-Montagnes,1,2_1,921
2,0102030405,2_2_1,Direction Montréal,0,2_2,920
2,0102030405,2_4_1,Direction Montréal,0,2_4,912
2,0102030405,2_1_3,Direction Deux-Montagnes,1,2_1,925
2,0102030405,2_2_3,Direction Montréal,0,2_2,922
2,0102030405,2_1_5,Direction Deux-Montagnes,1,2_1,927
2,0102030405,2_2_5,Direction Montréal,0,2_2,924
2,0102030405,2_1_7,Direction Deux-Montagnes,1,2_1,929
2,0102030405,2_2_7,Direction Montréal,0,2_2,926
2,0102030405,2_1_9,Direction Deux-Montagnes,1,2_1,931
2,0102030405,2_2_9,Direction Montréal,0,2_2,928
2,0102030405,2_1_11,Direction Deux-Montagnes,1,2_1,933
2,0102030405,2_2_11,Direction Montréal,0,2_2,930
