trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type,timepoint,shape_dist_traveled
1_10_2,5:45:00,5:45:00,VAU8D,1,0,0,1,0
1_10_2,5:50:00,5:50:00,VAU1D,2,0,0,1,3.74
1_10_2,5:52:00,5:52:00,TVA1D,3,0,0,1,4.99
1_10_2,5:56:00,5:56:00,LIP1D,4,0,0,1,7.36
1_10_2,5:59:00,5:59:00,SAB1D,5,0,0,1,9.08
1_10_2,6:02:00,6:02:00,BUR1D,6,0,0,1,12.19
1_10_2,6:05:00,6:05:00,BEA1D,7,0,0,1,14.57
1_10_2,6:09:00,6:09:00,BEA2D,8,0,0,1,17.8
1_10_2,6:13:00,6:13:00,PCL1D,9,0,0,1,20.11
1_10_2,6:15:00,6:15:00,PCL2D,10,0,0,1,21.5
1_10_2,6:17:00,6:17:00,PCL3D,11,0,0,1,22.53
1_10_2,6:20:00,6:20:00,DVL1D,12,0,0,1,24.61
1_10_2,6:23:00,6:23:00,DVL2D,13,0,0,1,26.27
1_10_2,6:27:00,6:27:00,LCH1D,14,0,0,1,28.75
1_10_2,6:33:00,6:33:00,MTL1A,15,0,0,1,34.34
1_10_2,6:41:00,6:41:00,MTL2A,16,0,0,1,38.1
1_10_2,6:48:00,6:48:00,MTL3A,17,1,0,1,41.54
1_3_2,7:50:00,7:50:00,MTL3C,1,0,0,1,0
1_3_2,7:55:00,7:55:00,MTL2C,2,0,0,1,3.44
1_3_2,8:00:00,8:00:00,MTL1C,3,0,0,1,7.2
1_3_2,8:07:00,8:07:00,LCH1B,4,0,0,1,12.79
1_3_2,8:10:00,8:10:00,DVL2B,5,0,0,1,15.28
1_3_2,8:14:00,8:14:00,PCL2B,6,0,0,1,20.04
1_3_2,8:21:00,8:21:00,BEA2B,7,1,0,1,23.74
1_5_2,7:05:00,7:05:00,MTL3C,1,0,0,1,0
1_5_2,7:10:00,7:10:00,MTL2C,2,0,0,1,3.44
1_5_2,7:15:00,7:15:00,MTL1C,3,0,0,1,7.2
1_5_2,7:21:00,7:21:00,LCH1B,4,0,0,1,12.79
1_5_2,7:24:00,7:24:00,DVL2B,5,0,0,1,15.28
1_5_2,7:29:00,7:29:00,PCL2B,6,0,0,1,20.04
1_5_2,7:33:00,7:33:00,BEA2B,7,0,0,1,23.74
1_5_2,7:39:00,7:39:00,BUR1B,8,0,0,1,29.36
1_5_2,7:43:00,7:43:00,SAB1B,9,0,0,1,32.47
1_5_2,7:45:00,7:45:00,LIP1B,10,0,0,1,34.19
